名称,地址,经度,纬度,距离(米),类型,营业时间,电话,网站,评分,人均消费,照片
星星充电汽车充电站(四子王旗德正弘加油充电站),乌兰花镇晟泰新村北京能源德正弘加油充电站,111.705880,41.543800,[],汽车服务;充电站;充电站,[],4008280768,[],3.8,[],http://store.is.autonavi.com/showpic/b6c6df004a22da364c5b71629cd31bbf; http://store.is.autonavi.com/showpic/5ac279ff9565c49a8689d6a3b5b5bff3; https://store.is.autonavi.com/showpic/b9a949aca8ac465ca1b742cf5e55ea9b
蒙马超级充电站(格根塔拉服务区快充电站),查干补力格苏木G209国道(K295+500)公里处,111.847660,41.794273,[],汽车服务;充电站;充电站,[],4008280768,[],3.1,[],https://store.is.autonavi.com/showpic/a6a518458ec7cd0eff0c4ad7cad74a08; https://store.is.autonavi.com/showpic/e557f7e8ed649c3d325d082094580f98; https://store.is.autonavi.com/showpic/20cbb2ae45d8bcb2c502d31afa2a2e90
蒙来电超级充电站(维也纳3好酒店),新华街69号(原旧政府大楼),111.701331,41.522776,[],汽车服务;充电站;充电站,新华街,4008987778,[],3.2,[],https://aos-comment.amap.com/B0KAJ6KR0T/comment/IMG_20250926_150431_tem_1758870290124_62549066.jpg; https://store.is.autonavi.com/showpic/444d54b39462be41874bad1ffefff140; https://store.is.autonavi.com/showpic/210ec7b190aa6302b4b5a65b5948816d
蒙马超级汽车充电站(四子王旗艾勒格庙服务区快充电站),江岸苏木G331巴江线(K6316 900)公里处,111.290219,43.143129,[],汽车服务;充电站;充电站,[],,[],3.1,[],https://aos-comment.amap.com/B0LACUKHU5/comment/content_media_external_file_1000068294_ss__1753153716299_97430048.jpg; http://store.is.autonavi.com/showpic/d6153a3f33c05727b938c8a28075ce43; https://aos-comment.amap.com/B0LACUKHU5/comment/175559026028_1755590275157_21857469.jpg
蒙电e充汽车充电站(蒙电文化路就业市场站),乌兰花镇文化路就业市场停车场,111.689450,41.526318,[],汽车服务;充电站;充电站,[],95598,[],2.9,[],https://aos-comment.amap.com/B0LURY1NSR/comment/content_media_external_file_22675_ss__1759991025464_22804299.jpg
蒙电e充汽车充电站(蒙电浩翔贵宾酒店站),乌兰花镇浩翔贵宾酒店停车场,111.707610,41.531310,[],汽车服务;充电站;充电站,和平路,95598,[],2.9,[],
蒙电e充汽车充电站(蒙电美食街站),乌兰花镇四子王旗美食街管理咨询有限公司,111.713036,41.545440,[],汽车服务;充电站;充电站,[],,[],2.9,[],
蒙马超级充电站(四子王旗国道331江岸服务区快充电站),江岸苏木331国道,110.756690,42.903873,[],汽车服务;充电站;充电站,[],4008280768,[],3.1,[],https://store.is.autonavi.com/showpic/417a349b34f5482192f8f7b00073552e; https://store.is.autonavi.com/showpic/06d44df9fae60d339f0d889ab7cf0674; https://store.is.autonavi.com/showpic/09d5d9da13f9e3f66b5bd49ee9b6996a
蒙电e充汽车充电站(蒙电四子王旗供电公司站),乌兰花镇文化路168号,111.679100,41.532610,[],汽车服务;充电站;充电站,[],,[],2.4,[],
蒙电e充汽车充电站(蒙电滨河公园站),乌兰花镇和平路,111.704450,41.516228,[],汽车服务;充电站;充电站,[],,[],2.4,[],
